,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date,track_genre,era
0,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,1,1428140,2020-05-02 00:00:00+00:00,0.14285714285714302,1.0,1,2020-05-11 00:00:00+00:00,125,2,2062314,2020-04-25 00:00:00+00:00,1,1428140,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2020
1,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,2,876269,2020-05-02 00:00:00+00:00,,2.0,1,2020-05-09 00:00:00+00:00,88,4,1170310,2020-04-28 00:00:00+00:00,2,876269,2020-05-02 00:00:00+00:00,雷鬼,2020
2,Let's Do It Again,J Boog,15953367.0,Washhouse Hawaii,2011-09-27 00:00:00+00:00,3,667071,2020-05-02 00:00:00+00:00,,3.0,3,2020-05-10 00:00:00+00:00,74,5,725338,2020-04-29 00:00:00+00:00,3,667071,2020-05-02 00:00:00+00:00,Reggae,2011
3,Bagaikan Langit（cover）,_ucil👑,,,,4,528711,2020-05-02 00:00:00+00:00,0.0,4.0,1,2020-02-12 00:00:00+00:00,118,4,804732,2020-04-25 00:00:00+00:00,4,528711,2020-05-02 00:00:00+00:00,,
4,Toosie Slide,Drake,28904803.0,OVO,2020-04-03 00:00:00+00:00,5,501313,2020-05-02 00:00:00+00:00,0.0,5.0,4,2020-05-05 00:00:00+00:00,106,5,785850,2020-04-25 00:00:00+00:00,5,501313,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2020
5,Captain Hook,Megan Thee Stallion,28677613.0,300 Entertainment,2020-03-06 00:00:00+00:00,6,443080,2020-05-02 00:00:00+00:00,0.0,6.0,5,2020-04-21 00:00:00+00:00,53,6,707717,2020-04-25 00:00:00+00:00,6,443080,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2020
6,Do It Again,Pia Mia,15934429.0,Wolfpack/Interscope,2015-05-04 00:00:00+00:00,7,436783,2020-05-02 00:00:00+00:00,-0.857142857142857,7.0,1,2020-04-25 00:00:00+00:00,60,1,3483839,2020-04-25 00:00:00+00:00,7,436783,2020-05-02 00:00:00+00:00,Pop,2015
7,I'm Just a Kid,Simple Plan,15073090.0,Rhino Atlantic,2018-04-06 00:00:00+00:00,8,419982,2020-05-02 00:00:00+00:00,0.0,8.0,7,2020-04-29 00:00:00+00:00,135,8,604505,2020-04-25 00:00:00+00:00,8,419982,2020-05-02 00:00:00+00:00,Alternative,2018
8,Cannibal X Whats My Name X Savage,rapidsongs,,,,9,390836,2020-05-02 00:00:00+00:00,-0.28571428571428603,9.0,3,2020-04-21 00:00:00+00:00,66,7,672942,2020-04-25 00:00:00+00:00,9,390836,2020-05-02 00:00:00+00:00,,
9,Savage Tiger King Edition,calebjaxin,,,,10,366259,2020-05-02 00:00:00+00:00,-0.14285714285714302,10.0,3,2020-04-16 00:00:00+00:00,67,9,590110,2020-04-25 00:00:00+00:00,10,366259,2020-05-02 00:00:00+00:00,,
10,Lose Control,Meduza & Becky Hill & Goodboys,25866511.0,Virgin,2019-10-11 00:00:00+00:00,11,353884,2020-05-02 00:00:00+00:00,0.0,11.0,5,2020-04-16 00:00:00+00:00,133,11,518449,2020-04-25 00:00:00+00:00,11,353884,2020-05-02 00:00:00+00:00,Dance,2019
11,Pew Pew Pew,Auntie Hammy,19937236.0,Hamshop Media,2018-06-01 00:00:00+00:00,12,352700,2020-05-02 00:00:00+00:00,-0.28571428571428603,12.0,6,2020-04-13 00:00:00+00:00,85,10,541432,2020-04-25 00:00:00+00:00,12,352700,2020-05-02 00:00:00+00:00,Comedy,2018
12,Personal,HRVY,17799080.0,"UMG Recordings, Inc.",2018-01-19 00:00:00+00:00,13,337154,2020-05-02 00:00:00+00:00,0.0,14.0,7,2020-05-11 00:00:00+00:00,94,13,464019,2020-04-25 00:00:00+00:00,13,337154,2020-05-02 00:00:00+00:00,Pop,2018
13,Rhythm thief but cursed,.hacky,,,,14,333904,2020-05-02 00:00:00+00:00,-1.57142857142857,13.0,2,2020-04-21 00:00:00+00:00,51,3,828838,2020-04-25 00:00:00+00:00,14,333904,2020-05-02 00:00:00+00:00,,
14,Snake,Lil Keed,24046736.0,300 Entertainment,2019-06-14 00:00:00+00:00,15,328432,2020-05-02 00:00:00+00:00,2.57142857142857,15.0,9,2020-05-04 00:00:00+00:00,88,33,274546,2020-04-25 00:00:00+00:00,15,328432,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2019
15,Oops！,PauPau 🇵🇭,,,,16,321673,2020-05-02 00:00:00+00:00,1.0,16.0,15,2020-05-04 00:00:00+00:00,84,23,365307,2020-04-25 00:00:00+00:00,16,321673,2020-05-02 00:00:00+00:00,,
16,Hareudang Panas,TetehAcaaa,29504443.0,Indiefy,2020-05-11 00:00:00+00:00,17,315805,2020-05-02 00:00:00+00:00,,18.0,16,2020-05-04 00:00:00+00:00,68,17,412643,2020-04-28 00:00:00+00:00,17,315805,2020-05-02 00:00:00+00:00,,2020
17,Supalonely (feat. Gus Dapperton),BENEE,27219667.0,Republic Records,2019-11-15 00:00:00+00:00,18,311129,2020-05-02 00:00:00+00:00,-0.857142857142857,17.0,2,2020-04-01 00:00:00+00:00,78,12,499519,2020-04-25 00:00:00+00:00,18,311129,2020-05-02 00:00:00+00:00,Alternative,2019
18,CatchTheSplashChallenge,robirawks_,,,,19,297129,2020-05-02 00:00:00+00:00,,19.0,16,2020-04-30 00:00:00+00:00,52,18,337996,2020-04-29 00:00:00+00:00,19,297129,2020-05-02 00:00:00+00:00,,
19,Just like that come my way,jordanaudiož,,,,20,292054,2020-05-02 00:00:00+00:00,-0.857142857142857,20.0,8,2020-04-09 00:00:00+00:00,67,14,461058,2020-04-25 00:00:00+00:00,20,292054,2020-05-02 00:00:00+00:00,,
20,MUA！,biancajramirez123,,,,21,277622,2020-05-02 00:00:00+00:00,0.7142857142857142,21.0,13,2020-05-13 00:00:00+00:00,123,26,338552,2020-04-25 00:00:00+00:00,21,277622,2020-05-02 00:00:00+00:00,,
21,2002 (Remix),Jayrous Morales,19411575.0,Shaun Reynolds,2018-05-11 00:00:00+00:00,22,275488,2020-05-02 00:00:00+00:00,-0.5714285714285711,23.0,7,2020-04-01 00:00:00+00:00,128,18,406091,2020-04-25 00:00:00+00:00,22,275488,2020-05-02 00:00:00+00:00,Pop,2018
22,Young Thug - Relationship (feat. Future),oouumanii_,15093585.0,Atlantic Records,2017-06-16 00:00:00+00:00,23,268064,2020-05-02 00:00:00+00:00,-1.14285714285714,22.0,1,2020-02-26 00:00:00+00:00,78,15,456983,2020-04-25 00:00:00+00:00,23,268064,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2017
23,Woah,KRYPTO9095,22809467.0,KSG Records,2019-03-29 00:00:00+00:00,24,266816,2020-05-02 00:00:00+00:00,0.7142857142857142,24.0,16,2020-05-12 00:00:00+00:00,126,29,294253,2020-04-25 00:00:00+00:00,24,266816,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2019
24,death bed (coffee for your head),Powfu & beabadoobee,28419993.0,Columbia,2020-02-08 00:00:00+00:00,25,262732,2020-05-02 00:00:00+00:00,0.42857142857142894,25.0,16,2020-04-01 00:00:00+00:00,104,28,321436,2020-04-25 00:00:00+00:00,25,262732,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2020
25,WOAH remix,raullcabello2,,,,26,258766,2020-05-02 00:00:00+00:00,-1.0,26.0,6,2020-04-01 00:00:00+00:00,85,19,404458,2020-04-25 00:00:00+00:00,26,258766,2020-05-02 00:00:00+00:00,,
26,Float on the Sound (Ey),Tiagz,27807274.0,736948 Records DK,2019-09-13 00:00:00+00:00,27,235601,2020-05-02 00:00:00+00:00,-0.7142857142857142,27.0,22,2020-04-27 00:00:00+00:00,71,22,368878,2020-04-25 00:00:00+00:00,27,235601,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2019
27,mua mua,Miya쌤,,,,28,230546,2020-05-02 00:00:00+00:00,-0.14285714285714302,28.0,3,2020-06-10 00:00:00+00:00,144,27,336397,2020-04-25 00:00:00+00:00,28,230546,2020-05-02 00:00:00+00:00,,
28,AhiChallenge,elrodcontreras,28459077.0,2020 Nfasis,2020-02-09 00:00:00+00:00,29,225958,2020-05-02 00:00:00+00:00,-0.7142857142857142,29.0,5,2020-02-18 00:00:00+00:00,91,24,350341,2020-04-25 00:00:00+00:00,29,225958,2020-05-02 00:00:00+00:00,Latin Urban,2020
29,Kasih Slow,Nonna 3In1,,,,30,222619,2020-05-02 00:00:00+00:00,0.14285714285714302,31.0,14,2020-06-02 00:00:00+00:00,93,31,287962,2020-04-25 00:00:00+00:00,30,222619,2020-05-02 00:00:00+00:00,,
30,BORED IN THE HOUSE,Curtis Roach,28844676.0,Curtis Roach,2020-03-23 00:00:00+00:00,31,221213,2020-05-02 00:00:00+00:00,3.85714285714286,30.0,5,2020-04-13 00:00:00+00:00,81,58,169132,2020-04-25 00:00:00+00:00,31,221213,2020-05-02 00:00:00+00:00,,2020
31,DJ Yames Mashup 2,dj_yames,,,,32,208719,2020-05-02 00:00:00+00:00,-1.7142857142857095,33.0,2,2020-04-06 00:00:00+00:00,75,20,390268,2020-04-25 00:00:00+00:00,32,208719,2020-05-02 00:00:00+00:00,,
32,They Call Me Tiago (Her Name Is Margo),Tiagz,28667532.0,736948 Records DK,2020-02-27 00:00:00+00:00,33,208004,2020-05-02 00:00:00+00:00,-2.42857142857143,32.0,13,2020-04-24 00:00:00+00:00,46,16,454467,2020-04-25 00:00:00+00:00,33,208004,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2020
33,Goyang Mama Muda,ateng,,,,34,203735,2020-05-02 00:00:00+00:00,-2.42857142857143,34.0,11,2020-04-20 00:00:00+00:00,81,17,434496,2020-04-25 00:00:00+00:00,34,203735,2020-05-02 00:00:00+00:00,,
34,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,35,200328,2020-05-02 00:00:00+00:00,,35.0,11,2020-05-09 00:00:00+00:00,61,36,216017,2020-04-29 00:00:00+00:00,35,200328,2020-05-02 00:00:00+00:00,雷鬼,2020
35,Instagram BLIND.SEE,blind.see,,,,36,197031,2020-05-02 00:00:00+00:00,,36.0,34,2020-05-03 00:00:00+00:00,55,40,201534,2020-04-29 00:00:00+00:00,36,197031,2020-05-02 00:00:00+00:00,,
36,feeling,BCD Studio-LI,,,,37,190328,2020-05-02 00:00:00+00:00,0.28571428571428603,38.0,14,2020-02-12 00:00:00+00:00,150,39,224763,2020-04-25 00:00:00+00:00,37,190328,2020-05-02 00:00:00+00:00,,
37,Hit It,Yung Skrrt,28847010.0,-,2019-07-27 00:00:00+00:00,38,188668,2020-05-02 00:00:00+00:00,3.0,39.0,37,2020-05-04 00:00:00+00:00,97,59,162145,2020-04-25 00:00:00+00:00,38,188668,2020-05-02 00:00:00+00:00,Hip-Hop/Rap,2019
38,Surrender,Natalie Taylor,14341447.0,Natalie Taylor,2015-10-29 00:00:00+00:00,39,187501,2020-05-02 00:00:00+00:00,-0.5714285714285711,37.0,25,2020-06-10 00:00:00+00:00,121,35,239046,2020-04-25 00:00:00+00:00,39,187501,2020-05-02 00:00:00+00:00,Singer/Songwriter,2015
