,id,code2s,code2,release date,rank,added_at,pre_rank,peak_rank,peak_date
0,352800903,US,JP,2019-10-09 00:00:00+00:00,138,2020-07-07 00:00:00+00:00,143.0,138,2020-07-07 00:00:00+00:00
1,359443867,US,DE,2019-10-09 00:00:00+00:00,53,2020-07-25 00:00:00+00:00,36.0,13,2020-05-22 00:00:00+00:00
2,359228914,US,DE,2019-10-09 00:00:00+00:00,159,2020-07-24 00:00:00+00:00,148.0,73,2020-05-24 00:00:00+00:00
3,358755823,US,FR,2019-10-09 00:00:00+00:00,98,2020-07-23 00:00:00+00:00,85.0,41,2020-06-03 00:00:00+00:00
4,359383843,US,FR,2019-10-09 00:00:00+00:00,22,2020-07-25 00:00:00+00:00,25.0,5,2020-04-28 00:00:00+00:00
5,350633846,US,GB,2019-10-09 00:00:00+00:00,200,2020-07-01 00:00:00+00:00,179.0,60,2020-04-23 00:00:00+00:00
6,359587881,US,GB,2020-05-08 00:00:00+00:00,129,2020-07-25 00:00:00+00:00,127.0,32,2020-05-12 00:00:00+00:00
7,341931461,US,GB,2020-05-08 00:00:00+00:00,168,2020-06-08 00:00:00+00:00,127.0,105,2020-05-12 00:00:00+00:00
8,359424597,US,GB,2019-10-09 00:00:00+00:00,46,2020-07-25 00:00:00+00:00,55.0,8,2020-04-23 00:00:00+00:00
9,359597787,US,IT,2019-10-09 00:00:00+00:00,138,2020-07-25 00:00:00+00:00,143.0,33,2020-05-09 00:00:00+00:00
10,359383237,US,IT,2019-10-09 00:00:00+00:00,21,2020-07-25 00:00:00+00:00,27.0,4,2020-05-08 00:00:00+00:00
11,359345002,US,BR,2019-10-09 00:00:00+00:00,4,2020-07-25 00:00:00+00:00,5.0,1,2020-05-14 00:00:00+00:00
12,359442391,US,BR,2019-10-09 00:00:00+00:00,59,2020-07-25 00:00:00+00:00,57.0,8,2020-05-19 00:00:00+00:00
13,359351033,US,CA,2019-10-09 00:00:00+00:00,6,2020-07-25 00:00:00+00:00,7.0,3,2020-04-29 00:00:00+00:00
14,359440959,US,CA,2019-10-09 00:00:00+00:00,52,2020-07-25 00:00:00+00:00,51.0,27,2020-06-08 00:00:00+00:00
15,359481829,US,CA,2020-05-22 00:00:00+00:00,77,2020-07-25 00:00:00+00:00,62.0,26,2020-06-08 00:00:00+00:00
16,358452584,US,CA,2020-05-22 00:00:00+00:00,130,2020-07-22 00:00:00+00:00,157.0,87,2020-06-08 00:00:00+00:00
17,359365662,US,ES,2019-10-09 00:00:00+00:00,13,2020-07-25 00:00:00+00:00,10.0,2,2020-06-16 00:00:00+00:00
18,359608041,US,ES,2019-10-09 00:00:00+00:00,136,2020-07-25 00:00:00+00:00,83.0,30,2020-06-16 00:00:00+00:00
19,358808833,US,IN,2019-10-09 00:00:00+00:00,119,2020-07-23 00:00:00+00:00,93.0,31,2020-06-14 00:00:00+00:00
20,358595752,US,IN,2019-10-09 00:00:00+00:00,6,2020-07-23 00:00:00+00:00,5.0,2,2020-06-14 00:00:00+00:00
21,358671465,US,MX,2019-10-09 00:00:00+00:00,46,2020-07-23 00:00:00+00:00,46.0,4,2020-06-13 00:00:00+00:00
22,356583694,US,MX,2019-10-09 00:00:00+00:00,141,2020-07-17 00:00:00+00:00,149.0,93,2020-06-13 00:00:00+00:00
23,359420839,US,NL,2019-10-09 00:00:00+00:00,40,2020-07-25 00:00:00+00:00,21.0,5,2020-05-07 00:00:00+00:00
24,359181832,US,NL,2019-10-09 00:00:00+00:00,123,2020-07-24 00:00:00+00:00,193.0,37,2020-06-01 00:00:00+00:00
25,359360386,US,AU,2019-10-09 00:00:00+00:00,11,2020-07-25 00:00:00+00:00,14.0,3,2020-04-27 00:00:00+00:00
26,359493376,US,AU,2019-10-09 00:00:00+00:00,77,2020-07-25 00:00:00+00:00,94.0,23,2020-04-15 00:00:00+00:00
27,318664019,US,AR,2019-10-09 00:00:00+00:00,23,2020-04-08 00:00:00+00:00,,23,2020-04-08 00:00:00+00:00
28,348382948,US,AR,2019-10-09 00:00:00+00:00,200,2020-06-25 00:00:00+00:00,182.0,2,2020-04-08 00:00:00+00:00
29,359394423,US,CH,2019-10-09 00:00:00+00:00,27,2020-07-25 00:00:00+00:00,14.0,5,2020-05-29 00:00:00+00:00
30,359657135,US,CH,2019-10-09 00:00:00+00:00,170,2020-07-25 00:00:00+00:00,74.0,19,2020-04-09 00:00:00+00:00
31,346516843,US,TW,2019-10-09 00:00:00+00:00,7,2020-06-21 00:00:00+00:00,8.0,7,2020-06-21 00:00:00+00:00
32,359047836,US,BE,2019-10-09 00:00:00+00:00,45,2020-07-24 00:00:00+00:00,41.0,12,2020-04-08 00:00:00+00:00
33,357759189,US,BE,2019-10-09 00:00:00+00:00,165,2020-07-20 00:00:00+00:00,198.0,48,2020-04-26 00:00:00+00:00
34,343534342,US,SE,2019-10-09 00:00:00+00:00,15,2020-06-13 00:00:00+00:00,6.0,6,2020-04-19 00:00:00+00:00
35,343720254,US,SE,2019-10-09 00:00:00+00:00,114,2020-06-13 00:00:00+00:00,53.0,53,2020-04-19 00:00:00+00:00
36,357601095,US,AT,2019-10-09 00:00:00+00:00,84,2020-07-20 00:00:00+00:00,52.0,19,2020-04-10 00:00:00+00:00
37,357479953,US,AT,2019-10-09 00:00:00+00:00,20,2020-07-20 00:00:00+00:00,13.0,5,2020-05-10 00:00:00+00:00
38,352442330,US,DK,2019-10-09 00:00:00+00:00,145,2020-07-06 00:00:00+00:00,186.0,58,2020-04-19 00:00:00+00:00
39,352198532,US,DK,2019-10-09 00:00:00+00:00,16,2020-07-06 00:00:00+00:00,18.0,6,2020-04-19 00:00:00+00:00
40,344658683,US,PL,2019-10-09 00:00:00+00:00,11,2020-06-16 00:00:00+00:00,15.0,3,2020-04-13 00:00:00+00:00
41,344708601,US,PL,2019-10-09 00:00:00+00:00,36,2020-06-16 00:00:00+00:00,54.0,10,2020-04-13 00:00:00+00:00
42,350468869,US,NO,2019-10-09 00:00:00+00:00,103,2020-07-01 00:00:00+00:00,81.0,27,2020-05-26 00:00:00+00:00
43,350308270,US,NO,2019-10-09 00:00:00+00:00,14,2020-07-01 00:00:00+00:00,15.0,6,2020-05-26 00:00:00+00:00
44,336813340,US,SA,2019-10-09 00:00:00+00:00,49,2020-05-26 00:00:00+00:00,25.0,21,2020-03-23 00:00:00+00:00
45,357057624,US,SA,2019-10-09 00:00:00+00:00,190,2020-07-18 00:00:00+00:00,192.0,1,2020-03-23 00:00:00+00:00
46,332570368,US,FI,2019-10-09 00:00:00+00:00,4,2020-05-15 00:00:00+00:00,10.0,4,2020-05-15 00:00:00+00:00
47,332624520,US,FI,2019-10-09 00:00:00+00:00,34,2020-05-15 00:00:00+00:00,71.0,34,2020-05-15 00:00:00+00:00
48,359434139,US,ZA,2019-10-09 00:00:00+00:00,50,2020-07-25 00:00:00+00:00,50.0,7,2020-05-27 00:00:00+00:00
49,358481326,US,ZA,2019-10-09 00:00:00+00:00,146,2020-07-22 00:00:00+00:00,95.0,40,2020-06-12 00:00:00+00:00
50,347649715,US,TH,2019-10-09 00:00:00+00:00,7,2020-06-24 00:00:00+00:00,7.0,7,2020-06-23 00:00:00+00:00
51,359322651,US,PT,2019-10-09 00:00:00+00:00,185,2020-07-24 00:00:00+00:00,200.0,3,2020-04-29 00:00:00+00:00
52,346541741,US,PT,2019-10-09 00:00:00+00:00,19,2020-06-21 00:00:00+00:00,32.0,11,2020-04-29 00:00:00+00:00
53,349923313,US,CO,2019-10-09 00:00:00+00:00,13,2020-06-30 00:00:00+00:00,20.0,13,2020-06-30 00:00:00+00:00
54,350623933,US,CO,2019-10-09 00:00:00+00:00,181,2020-07-01 00:00:00+00:00,1.0,1,2020-06-30 00:00:00+00:00
55,349292031,US,SG,2019-10-09 00:00:00+00:00,77,2020-06-28 00:00:00+00:00,94.0,77,2020-06-28 00:00:00+00:00
56,349156530,US,SG,2019-10-09 00:00:00+00:00,4,2020-06-28 00:00:00+00:00,4.0,4,2020-05-11 00:00:00+00:00
57,357106159,US,ID,2019-10-09 00:00:00+00:00,17,2020-07-19 00:00:00+00:00,8.0,5,2020-03-22 00:00:00+00:00
58,356966567,US,ID,2019-10-09 00:00:00+00:00,144,2020-07-18 00:00:00+00:00,130.0,52,2020-04-19 00:00:00+00:00
59,359363217,US,EG,2019-10-09 00:00:00+00:00,14,2020-07-25 00:00:00+00:00,45.0,1,2020-04-17 00:00:00+00:00
60,359566935,US,EG,2019-10-09 00:00:00+00:00,124,2020-07-25 00:00:00+00:00,133.0,3,2020-05-03 00:00:00+00:00
