,track_name,artist_name,cm_id,label,release_date,rank,weekly_posts,add_date,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rank_week_start,weekly_posts_start,week_start_date,rank_week_end,weekly_posts_end,week_end_date
0,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,24879479.0,S-Curve Records,2019-08-16 00:00:00+00:00,1,3629101,2020-05-30 00:00:00+00:00,0.0,1.0,1,2020-06-10 00:00:00+00:00,75,1,4444820,2020-05-23 00:00:00+00:00,1,3629101,2020-05-30 00:00:00+00:00
1,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,2,2940043,2020-05-30 00:00:00+00:00,0.0,2.0,1,2020-05-18 00:00:00+00:00,91,2,3384687,2020-05-23 00:00:00+00:00,2,2940043,2020-05-30 00:00:00+00:00
2,Coño (feat. Jhorrmountain x Adje),Puri,20146009.0,Spinnin' Records,2018-07-06 00:00:00+00:00,3,2484822,2020-05-30 00:00:00+00:00,3.42857142857143,3.0,1,2020-06-02 00:00:00+00:00,110,27,216245,2020-05-23 00:00:00+00:00,3,2484822,2020-05-30 00:00:00+00:00
3,Cari Mama Muda,Iqballl🍁,,,,4,1687018,2020-05-30 00:00:00+00:00,-0.142857142857143,4.0,1,2020-05-12 00:00:00+00:00,82,3,1952785,2020-05-23 00:00:00+00:00,4,1687018,2020-05-30 00:00:00+00:00
4,Savage,Megan Thee Stallion,28677612.0,300 Entertainment,2020-03-06 00:00:00+00:00,5,1281909,2020-05-30 00:00:00+00:00,0.0,5.0,1,2020-05-11 00:00:00+00:00,125,5,1314492,2020-05-23 00:00:00+00:00,5,1281909,2020-05-30 00:00:00+00:00
5,Dream Girl,Ir Sais,16928605.0,Ir-sais,2017-09-27 00:00:00+00:00,6,1265045,2020-05-30 00:00:00+00:00,0.0,7.0,1,2020-07-03 00:00:00+00:00,74,6,936846,2020-05-23 00:00:00+00:00,6,1265045,2020-05-30 00:00:00+00:00
6,Party Girl,StaySolidRocky,29155495.0,Columbia,2020-04-21 00:00:00+00:00,7,1254574,2020-05-30 00:00:00+00:00,,6.0,5,2020-05-25 00:00:00+00:00,73,6,1137636,2020-05-24 00:00:00+00:00,7,1254574,2020-05-30 00:00:00+00:00
7,Wipe It Down,BMW KENNY,29345768.0,BMW,2020-04-27 00:00:00+00:00,8,809279,2020-05-30 00:00:00+00:00,,8.0,8,2020-05-27 00:00:00+00:00,70,8,805262,2020-05-25 00:00:00+00:00,8,809279,2020-05-30 00:00:00+00:00
8,What If (I Told You I Like You),Johnny Orlando & Mackenzie Ziegler,19251938.0,"UMG Recordings, Inc.",2018-06-15 00:00:00+00:00,9,750454,2020-05-30 00:00:00+00:00,2.42857142857143,9.0,3,2020-08-05 00:00:00+00:00,103,26,229198,2020-05-23 00:00:00+00:00,9,750454,2020-05-30 00:00:00+00:00
9,Cyber Sex - Doja Cat,tyler_warwick,26950258.0,Kemosabe Records/RCA Records,2019-11-07 00:00:00+00:00,10,673343,2020-05-30 00:00:00+00:00,,10.0,9,2020-05-28 00:00:00+00:00,50,9,701642,2020-05-28 00:00:00+00:00,10,673343,2020-05-30 00:00:00+00:00
10,ROCKSTAR,"DaBaby, Roddy Ricch",29099003.0,South Coast Music Group/Interscope Records,2020-04-17 00:00:00+00:00,11,553609,2020-05-30 00:00:00+00:00,,11.0,8,2020-07-03 00:00:00+00:00,69,11,536700,2020-05-28 00:00:00+00:00,11,553609,2020-05-30 00:00:00+00:00
11,Karin dan Dewi (remix),TramAnh🙆‍♀️❌,,,,12,459097,2020-05-30 00:00:00+00:00,0.285714285714286,13.0,8,2020-06-02 00:00:00+00:00,152,14,341625,2020-05-23 00:00:00+00:00,12,459097,2020-05-30 00:00:00+00:00
12,Savage Love (Laxed - Siren Beat),Jawsh 685 & Jason Derulo,29751924.0,Columbia,2020-06-11 00:00:00+00:00,13,454711,2020-05-30 00:00:00+00:00,,12.0,9,2020-06-02 00:00:00+00:00,68,16,352180,2020-05-24 00:00:00+00:00,13,454711,2020-05-30 00:00:00+00:00
13,The Sharkboy Beat,Ricky Desktop,,,,14,434310,2020-05-30 00:00:00+00:00,,15.0,10,2020-05-24 00:00:00+00:00,55,10,473087,2020-05-24 00:00:00+00:00,14,434310,2020-05-30 00:00:00+00:00
14,Sweet and Salty,goalsounds,,,,15,407521,2020-05-30 00:00:00+00:00,-1.14285714285714,14.0,5,2020-05-20 00:00:00+00:00,50,7,819535,2020-05-23 00:00:00+00:00,15,407521,2020-05-30 00:00:00+00:00
15,Crystal Dolphin (KyleYouMadeThat Remix),Engelwood,17918694.0,Engelwood,2017-12-06 00:00:00+00:00,16,395929,2020-05-30 00:00:00+00:00,-1.14285714285714,16.0,7,2020-05-21 00:00:00+00:00,44,8,537303,2020-05-23 00:00:00+00:00,16,395929,2020-05-30 00:00:00+00:00
16,nursery,bbno$,22461520.0,no records,2019-01-25 00:00:00+00:00,17,364588,2020-05-30 00:00:00+00:00,-0.857142857142857,17.0,11,2020-05-23 00:00:00+00:00,58,11,423657,2020-05-23 00:00:00+00:00,17,364588,2020-05-30 00:00:00+00:00
17,Laxed (Siren Beat),Jawsh 685,29203381.0,Jawsh 685,2020-04-24 00:00:00+00:00,18,361930,2020-05-30 00:00:00+00:00,-1.28571428571429,18.0,1,2020-05-09 00:00:00+00:00,88,9,462096,2020-05-23 00:00:00+00:00,18,361930,2020-05-30 00:00:00+00:00
18,MUA！,biancajramirez123,,,,19,334290,2020-05-30 00:00:00+00:00,-0.428571428571429,19.0,13,2020-05-13 00:00:00+00:00,123,16,297930,2020-05-23 00:00:00+00:00,19,334290,2020-05-30 00:00:00+00:00
19,Toosie Slide,Drake,28904803.0,OVO,2020-04-03 00:00:00+00:00,20,310540,2020-05-30 00:00:00+00:00,-0.714285714285714,24.0,4,2020-05-05 00:00:00+00:00,106,15,304340,2020-05-23 00:00:00+00:00,20,310540,2020-05-30 00:00:00+00:00
20,Kasih Slow,Nonna 3In1,,,,21,303951,2020-05-30 00:00:00+00:00,1.57142857142857,23.0,14,2020-06-02 00:00:00+00:00,93,32,192546,2020-05-23 00:00:00+00:00,21,303951,2020-05-30 00:00:00+00:00
21,Play Date,Melanie Martinez,15090401.0,Atlantic Records,2015-08-14 00:00:00+00:00,22,287763,2020-05-30 00:00:00+00:00,-0.142857142857143,25.0,12,2020-06-02 00:00:00+00:00,80,21,260515,2020-05-23 00:00:00+00:00,22,287763,2020-05-30 00:00:00+00:00
22,Let's Do It Again,J Boog,15953367.0,Washhouse Hawaii,2011-09-27 00:00:00+00:00,23,279223,2020-05-30 00:00:00+00:00,-1.57142857142857,20.0,3,2020-05-10 00:00:00+00:00,74,12,362270,2020-05-23 00:00:00+00:00,23,279223,2020-05-30 00:00:00+00:00
23,2002 (Remix),Jayrous Morales,19411575.0,Shaun Reynolds,2018-05-11 00:00:00+00:00,24,271017,2020-05-30 00:00:00+00:00,-0.714285714285714,26.0,7,2020-04-01 00:00:00+00:00,128,19,267664,2020-05-23 00:00:00+00:00,24,271017,2020-05-30 00:00:00+00:00
24,GOOBA,6ix9ine,29355561.0,Scumgang Records,2020-05-08 00:00:00+00:00,25,268388,2020-05-30 00:00:00+00:00,,21.0,20,2020-05-27 00:00:00+00:00,62,22,300359,2020-05-25 00:00:00+00:00,25,268388,2020-05-30 00:00:00+00:00
25,Woah,KRYPTO9095,22809467.0,KSG Records,2019-03-29 00:00:00+00:00,26,266400,2020-05-30 00:00:00+00:00,-1.28571428571429,22.0,16,2020-05-12 00:00:00+00:00,126,17,297879,2020-05-23 00:00:00+00:00,26,266400,2020-05-30 00:00:00+00:00
26,I'm Just a Kid,Simple Plan,15073090.0,Rhino Atlantic,2018-04-06 00:00:00+00:00,28,258788,2020-05-30 00:00:00+00:00,-0.857142857142857,27.0,7,2020-04-29 00:00:00+00:00,135,22,250284,2020-05-23 00:00:00+00:00,28,258788,2020-05-30 00:00:00+00:00
27,Lose Control,Meduza & Becky Hill & Goodboys,25866511.0,Virgin,2019-10-11 00:00:00+00:00,29,246282,2020-05-30 00:00:00+00:00,-1.57142857142857,28.0,5,2020-04-16 00:00:00+00:00,133,18,272033,2020-05-23 00:00:00+00:00,29,246282,2020-05-30 00:00:00+00:00
28,Soap,Melanie_Martinez,15090187.0,Atlantic Records,2015-08-14 00:00:00+00:00,30,230703,2020-05-30 00:00:00+00:00,-0.857142857142857,31.0,4,2020-06-13 00:00:00+00:00,21,24,243767,2020-05-23 00:00:00+00:00,30,230703,2020-05-30 00:00:00+00:00
29,Я дома,Даня Милохин,29186662.0,Wildjam Music,2020-04-24 00:00:00+00:00,31,230546,2020-05-30 00:00:00+00:00,-0.285714285714286,30.0,24,2020-06-02 00:00:00+00:00,53,29,209169,2020-05-23 00:00:00+00:00,31,230546,2020-05-30 00:00:00+00:00
30,Kuch Bhi Ho Jaye,B Praak,28987846.0,Desi Melodies,2020-04-09 00:00:00+00:00,32,225327,2020-05-30 00:00:00+00:00,12.0,33.0,6,2020-05-13 00:00:00+00:00,49,116,65021,2020-05-23 00:00:00+00:00,32,225327,2020-05-30 00:00:00+00:00
31,Bagaikan Langit（cover）,_ucil👑,,,,33,221993,2020-05-30 00:00:00+00:00,-1.42857142857143,32.0,1,2020-02-12 00:00:00+00:00,118,23,248898,2020-05-23 00:00:00+00:00,33,221993,2020-05-30 00:00:00+00:00
32,Kalla Sohna Nai,Neha Kakkar,28796976.0,,,34,211726,2020-05-30 00:00:00+00:00,1.57142857142857,34.0,19,2020-06-07 00:00:00+00:00,64,45,160423,2020-05-23 00:00:00+00:00,34,211726,2020-05-30 00:00:00+00:00
33,feeling,BCD Studio-LI,,,,35,194112,2020-05-30 00:00:00+00:00,-0.142857142857143,36.0,14,2020-02-12 00:00:00+00:00,150,34,187152,2020-05-23 00:00:00+00:00,35,194112,2020-05-30 00:00:00+00:00
